,Address,Latitude,Longitude,Zone,Total Distance
0,"Connaught Place, Delhi",28.6314022,77.2193791,3,54.0
1,"317 Phase 2, Pocket D, Delhi 110091",28.6039267,77.2903476,3,54.0
2,"110 A 1st Floor, Delhi 110091",28.608135091203348,77.30101979939349,3,54.0
3,"B-42, Patparganj Road, Near Paliwal Dharmshala, Guru Nanak Pura, Delhi 110092",28.6024541,77.3141628,3,54.0
4,"787, Noida, Noida, Delhi 201301",28.6292302,77.38416795,3,54.0
5,"834, Shalimar Garden Extn 1, Sahibabad, Ghaziabad, Delhi 201001",28.6722772,77.3700121,3,54.0
6,"Maliwara, Vasant Marg, Opp Syndicate Bank, Ghaziabad, Ghaziabad, Delhi 201001",28.7387381,77.3143986,3,54.0
7,"Budh Vihar, Delhi 110041",28.6908619,77.2795338,3,54.0
8,"Shahdara, Dilshad Garden, Delhi 110095",28.6777276,77.3232072,3,54.0
9,"32d, Fruit Garden, Railway Road, Delhi 121001",28.6716769,77.3162988,3,54.0
10,"D-5, Opp. Balaji Mandir, Vivek Vihar, Delhi 110095",28.6691641,77.31226695421603,3,54.0
11,"G 9, Part 2, Neel Kanth Chamber, Saini Enclave, Delhi 110092",28.6522939,77.30553030048932,3,54.0
12,"63-64, Main Market, Subzi Mandi, Delhi 110007",28.63551235,77.32148223170245,3,54.0
13,"G 1, Ashish Complex, New Rajdhani Enclave, Delhi 110092",28.64177085,77.2941447628349,3,54.0
14,"Sh No 10, Opp Nirulas, Preet Vihar, Delhi 110092",28.6377532,77.2951746,3,54.0
15,"C 423, Nirman Vihar, Delhi 110092",28.6342214,77.28807698430413,3,54.0
16,"G 90, Vijay Chowk, Laxmi Nagar, Delhi 110092",28.635087,77.2781101751352,3,54.0
17,"R-40, Vikas Marg Extn, Main Bus Stop, Shakarpur, Delhi 110092",28.6306797,77.2818984,3,54.0
