,Address,Latitude,Longitude,Zone,Page,Total Distance,Order
0,"Connaught Place, Delhi",28.6314022,77.2193791,0,0,177.8,0
1,"32, Main, Lodhi Colony, Delhi 110003",28.586203,77.2268576,0,0,177.8,1
2,"Plot No 3, Dabua Extn, Nit, Indl Area, Pali Road, Faridabad, Faridabad, Delhi 121001",28.5769233,77.2660263,0,0,177.8,2
3,"Vasant Plaza, Near Subway, Munirka, Delhi 110067",28.554886,77.1710841,0,0,177.8,3
4,"C 16, Delhi 110001",28.54849475,77.23750210823171,0,0,177.8,4
5,"J-12 Phase 2, Delhi 110024",28.5368963,77.2674135,0,0,177.8,5
6,"26, Part 1, Community Centre 3rdth Floor, East Of Kailash, Delhi 110065",28.5621143,77.2555218,0,0,177.8,6
7,"2318, Lodhi Road Complex, Lodhi Road, Delhi 110003",28.5905859,77.2245784,0,0,177.8,7
8,"82 A, C Extension, Delhi 110096",28.58066145,77.25741170875536,0,0,177.8,8
9,"34/1, Yusuf Sarai, Delhi 110016",28.559678,77.2077419690489,0,0,177.8,9
10,"140, Bhagwan Nagar, Delhi 110014",28.57914175,77.25871661527904,0,0,177.8,10
11,"R 16, Main Road, Kalkaji, Delhi 110019",28.5603226,77.2667188,0,0,177.8,11
12,"1h/26, Nit, Delhi 121001",28.5681409,77.1987107,0,0,177.8,12
13,"J 13, Mini Market, Delhi 110019",28.5845103,77.1920395,0,0,177.8,13
14,"K 38, Shri Krishna Mkt Khirki, Malviya Nagar, Delhi 110017",28.5366155,77.2122199,0,0,177.8,14
15,"E 169, Masjid Moth, Delhi 110048",28.54045305,77.23575220000001,0,0,177.8,15
16,"O - 17, Part 2, 17th Square, Lajpat Nagar, Delhi 110024",28.5692497,77.2388902,0,0,177.8,16
17,"1 2nd Floor, Pocket H & J Commercial Complex, Delhi 110076",28.54194793986313,77.2817487422441,0,0,177.8,17
18,"Mujesar, Delhi 121005",28.3661359,77.3066292,0,0,177.8,18
19,"Kalkaji, Delhi 110019",28.542546029,77.25490838464371,0,0,177.8,19
20,"B7, H 58-59, P S Estate, South Extn, Delhi 110049",28.5633766,77.2600597,0,0,177.8,20
21,"C - 24/1, Jamia Nagar, Delhi 110025",28.56386655,77.28014937323283,0,0,177.8,21
22,"23, New Market, Delhi 110007",28.5377121,77.2133844,0,0,177.8,22
23,"88 D, Sukhdev Vihar Road, Delhi 110025",28.5597477,77.2749004,0,0,177.8,23
24,"K-35, Green Park, Delhi 110016",28.5555374,77.2024966,0,0,177.8,24
25,"71 Scf-ii, Near Magpie, Sector 16a, Delhi 121001",28.5184574,77.22419134403279,0,0,177.8,25
26,"D 374, Defence Colony, Delhi 110024",28.573149,77.2378907,0,0,177.8,26
27,"E 106, Jawahar Park, Sainik Farm, Delhi 110062",28.503746,77.21607253402124,0,0,177.8,27
28,"J 1/162, Delhi 110027",28.52692315,77.25637382148926,0,0,177.8,28
29,"Connaught Place, Delhi",28.6314022,77.2193791,0,0,177.8,29
30,"Connaught Place, Delhi",28.6314022,77.2193791,0,1,177.17,0
31,"Plot No 3, Dabua Extn, Nit, Indl Area, Pali Road, Faridabad, Faridabad, Delhi 121001",28.5769233,77.2660263,0,1,177.17,1
32,"32, Main, Lodhi Colony, Delhi 110003",28.586203,77.2268576,0,1,177.17,2
33,"Vasant Plaza, Near Subway, Munirka, Delhi 110067",28.554886,77.1710841,0,1,177.17,3
34,"C 16, Delhi 110001",28.54849475,77.23750210823171,0,1,177.17,4
35,"J-12 Phase 2, Delhi 110024",28.5368963,77.2674135,0,1,177.17,5
36,"26, Part 1, Community Centre 3rdth Floor, East Of Kailash, Delhi 110065",28.5621143,77.2555218,0,1,177.17,6
