,Address,Latitude,Longitude,Zone,Page,Total Distance,Order
0,"Connaught Place, Delhi",28.6314022,77.2193791,1,0,210.5,0
1,"20b, Dsidc Shed, Tilak Nagar, Delhi 110018",28.6365482,77.0964961,1,0,210.5,1
2,"Unit 1 B-257, Naraina Indl Area, Delhi 110028",28.6321053,77.1370662,1,0,210.5,2
3,"F 301/2, Friend Tower, Paschim Vihar, Delhi 110087",28.6695782,77.095956,1,0,210.5,3
4,"Plot 41, Gurgaon, Gurgaon, Delhi 122001",28.4692855,77.034447,1,0,210.5,4
5,"F 12a, Sudarshan Park, Moti Nagar, Delhi 110015",28.6588044,77.1446329,1,0,210.5,5
6,"B1/154, Vishnu Garden, Delhi 110018",28.6524333,77.1000592,1,0,210.5,6
7,"Cb-109, Ring Road, Naraina, Delhi 110028",28.6220547,77.1386441,1,0,210.5,7
8,"E-38, Ring Road, Near Mayapuri Crossing, Rajouri Garden, Delhi 110027",28.6421518,77.11606037769263,1,0,210.5,8
9,"Rama Park Extension, Main Najafgarh Road, Delhi 110059",28.61516205,76.97752770209998,1,0,210.5,9
10,"Vikas Puri, Delhi 110018",28.6301441,77.0682683,1,0,210.5,10
11,"E 19, Plot No 7 Cghs, Balaji Complex, Dwarika, Delhi 110075",28.6148521,77.0490279,1,0,210.5,11
12,"A 27 Sector 5, Delhi 201301",28.59740795,77.05669444035006,1,0,210.5,12
13,"412, Gd-itl, Netaji Subhash Palace, Pitampura, Delhi 110034",28.6995123,77.1301047,1,0,210.5,13
14,"131, Raja Garden, Delhi 110015",28.652182,77.1263056,1,0,210.5,14
15,"4/11, Jai Dev Park, Punjabi Bagh, Delhi 110026",28.6673005,77.1373216,1,0,210.5,15
16,"K-113, Gurudwara Road, Near Santosh Park Primary School, Uttam Nagar, Delhi 110059",28.6190739,77.0566861,1,0,210.5,16
17,"C 3/1, Delhi 110052",28.75934455,77.09735407754992,1,0,210.5,17
18,"108, Delhi 110049",28.66418085,77.08805395000002,1,0,210.5,18
19,"B 1/31, New Moti Nagar, Delhi 110015",28.6637213,77.142878,1,0,210.5,19
20,"Wz 480, E 13, Tyagi Market, Basai Darapur, Delhi 110015",28.6572257,77.1327816,1,0,210.5,20
21,"D 191, Ring Road, Delhi 110015",28.6684172,77.136923,1,0,210.5,21
22,"206, C 3, Commercial Complex, Pooja House, Karampura, Delhi 110015",28.6647004,77.1468691,1,0,210.5,22
23,"38, Market No 1, Delhi 121001",28.5976698,77.04904787904695,1,0,210.5,23
24,"581 Phase 5, Udyog Vihar, Delhi 122001",28.68219895,77.0884870400779,1,0,210.5,24
25,"Connaught Place, Delhi",28.6314022,77.2193791,1,0,210.5,25
26,"Connaught Place, Delhi",28.6314022,77.2193791,1,1,204.4,0
27,"Unit 1 B-257, Naraina Indl Area, Delhi 110028",28.6321053,77.1370662,1,1,204.4,1
28,"20b, Dsidc Shed, Tilak Nagar, Delhi 110018",28.6365482,77.0964961,1,1,204.4,2
29,"F 301/2, Friend Tower, Paschim Vihar, Delhi 110087",28.6695782,77.095956,1,1,204.4,3
30,"Plot 41, Gurgaon, Gurgaon, Delhi 122001",28.4692855,77.034447,1,1,204.4,4
31,"F 12a, Sudarshan Park, Moti Nagar, Delhi 110015",28.6588044,77.1446329,1,1,204.4,5
32,"B1/154, Vishnu Garden, Delhi 110018",28.6524333,77.1000592,1,1,204.4,6
33,"Cb-109, Ring Road, Naraina, Delhi 110028",28.6220547,77.1386441,1,1,204.4,7
34,"E-38, Ring Road, Near Mayapuri Crossing, Rajouri Garden, Delhi 110027",28.6421518,77.11606037769263,1,1,204.4,8
35,"Rama Park Extension, Main Najafgarh Road, Delhi 110059",28.61516205,76.97752770209998,1,1,204.4,9
